ordernumber,orderdate,year,month,month_name,country,territory,productline,dealsize,quantityordered,priceeach,sales,calc_sales,sales_valid
10100,2003-01-06,2003,1,Jan,Usa,Unknown,Vintage Cars,Medium,50,67.8,3390.0,3390.0,True
10100,2003-01-06,2003,1,Jan,Usa,Unknown,Vintage Cars,Small,49,34.47,1689.03,1689.03,True
10100,2003-01-06,2003,1,Jan,Usa,Unknown,Vintage Cars,Small,22,86.51,1903.22,1903.22,True
10101,2003-01-09,2003,1,Jan,Germany,Emea,Vintage Cars,Small,46,53.76,2472.96,2472.96,True
10101,2003-01-09,2003,1,Jan,Germany,Emea,Vintage Cars,Small,45,31.2,1404.0,1404.0,True
10102,2003-01-10,2003,1,Jan,Usa,Unknown,Vintage Cars,Small,41,50.14,2055.74,2055.74,True
10103,2003-01-29,2003,1,Jan,Norway,Emea,Vintage Cars,Small,35,57.46,2011.1,2011.1,True
10103,2003-01-29,2003,1,Jan,Norway,Emea,Trucks And Buses,Small,22,54.09,1189.98,1189.98,True
10103,2003-01-29,2003,1,Jan,Norway,Emea,Trucks And Buses,Medium,45,75.63,3403.35,3403.35,True
10103,2003-01-29,2003,1,Jan,Norway,Emea,Vintage Cars,Small,41,47.29,1938.89,1938.89,True
10103,2003-01-29,2003,1,Jan,Norway,Emea,Vintage Cars,Small,27,83.07,2242.89,2242.89,True
10104,2003-01-31,2003,1,Jan,Spain,Emea,Trains,Medium,49,65.87,3227.63,3227.63,True
10104,2003-01-31,2003,1,Jan,Spain,Emea,Trucks And Buses,Small,35,47.62,1666.7,1666.7,True
10104,2003-01-31,2003,1,Jan,Spain,Emea,Classic Cars,Small,44,39.6,1742.4,1742.4,True
10104,2003-01-31,2003,1,Jan,Spain,Emea,Classic Cars,Small,35,55.49,1942.15,1942.15,True
10104,2003-01-31,2003,1,Jan,Spain,Emea,Trains,Small,32,53.31,1705.92,1705.92,True
10105,2003-02-11,2003,2,Feb,Denmark,Emea,Vintage Cars,Medium,41,82.5,3382.5,3382.5,True
10105,2003-02-11,2003,2,Feb,Denmark,Emea,Ships,Small,29,70.15,2034.35,2034.35,True
10105,2003-02-11,2003,2,Feb,Denmark,Emea,Vintage Cars,Medium,44,72.58,3193.52,3193.52,True
10105,2003-02-11,2003,2,Feb,Denmark,Emea,Ships,Small,41,70.67,2897.47,2897.47,True
10105,2003-02-11,2003,2,Feb,Denmark,Emea,Ships,Medium,39,81.14,3164.46,3164.46,True
10105,2003-02-11,2003,2,Feb,Denmark,Emea,Ships,Small,31,65.77,2038.87,2038.87,True
10105,2003-02-11,2003,2,Feb,Denmark,Emea,Vintage Cars,Medium,50,79.67,3983.5,3983.5,True
10105,2003-02-11,2003,2,Feb,Denmark,Emea,Ships,Small,25,56.78,1419.5,1419.5,True
10106,2003-02-17,2003,2,Feb,Italy,Emea,Vintage Cars,Small,31,52.6,1630.6,1630.6,True
10106,2003-02-17,2003,2,Feb,Italy,Emea,Planes,Medium,34,90.39,3073.26,3073.26,True
10106,2003-02-17,2003,2,Feb,Italy,Emea,Planes,Small,48,52.64,2526.72,2526.72,True
10106,2003-02-17,2003,2,Feb,Italy,Emea,Planes,Small,48,61.44,2949.12,2949.12,True
10106,2003-02-17,2003,2,Feb,Italy,Emea,Planes,Small,28,88.63,2481.64,2481.64,True
10106,2003-02-17,2003,2,Feb,Italy,Emea,Ships,Medium,41,83.44,3421.04,3421.04,True
10106,2003-02-17,2003,2,Feb,Italy,Emea,Vintage Cars,Small,39,40.15,1565.85,1565.85,True
10106,2003-02-17,2003,2,Feb,Italy,Emea,Planes,Medium,49,74.68,3659.32,3659.32,True
10106,2003-02-17,2003,2,Feb,Italy,Emea,Vintage Cars,Small,33,72.92,2406.36,2406.36,True
10106,2003-02-17,2003,2,Feb,Italy,Emea,Planes,Small,26,63.76,1657.76,1657.76,True
10106,2003-02-17,2003,2,Feb,Italy,Emea,Planes,Medium,50,64.83,3241.5,3241.5,True
10106,2003-02-17,2003,2,Feb,Italy,Emea,Planes,Medium,44,74.4,3273.6,3273.6,True
10107,2003-02-24,2003,2,Feb,Usa,Unknown,Motorcycles,Small,20,92.9,1858.0,1858.0,True
10107,2003-02-24,2003,2,Feb,Usa,Unknown,Motorcycles,Small,29,70.87,2055.23,2055.23,True
10107,2003-02-24,2003,2,Feb,Usa,Unknown,Motorcycles,Medium,38,83.03,3155.14,3155.14,True
10107,2003-02-24,2003,2,Feb,Usa,Unknown,Motorcycles,Small,30,95.7,2871.0,2871.0,True
10107,2003-02-24,2003,2,Feb,Usa,Unknown,Motorcycles,Medium,39,99.91,3896.49,3896.49,True
10108,2003-03-03,2003,3,Mar,Philippines,Japan,Motorcycles,Small,27,43.45,1173.15,1173.15,True
10108,2003-03-03,2003,3,Mar,Philippines,Japan,Classic Cars,Medium,39,89.38,3485.82,3485.82,True
10108,2003-03-03,2003,3,Mar,Philippines,Japan,Classic Cars,Small,26,68.35,1777.1,1777.1,True
10108,2003-03-03,2003,3,Mar,Philippines,Japan,Motorcycles,Small,34,82.99,2821.66,2821.66,True
10108,2003-03-03,2003,3,Mar,Philippines,Japan,Classic Cars,Small,30,63.07,1892.1,1892.1,True
10108,2003-03-03,2003,3,Mar,Philippines,Japan,Classic Cars,Small,31,68.71,2130.01,2130.01,True
10108,2003-03-03,2003,3,Mar,Philippines,Japan,Classic Cars,Medium,38,82.39,3130.82,3130.82,True
10108,2003-03-03,2003,3,Mar,Philippines,Japan,Motorcycles,Small,35,58.87,2060.45,2060.45,True
10108,2003-03-03,2003,3,Mar,Philippines,Japan,Motorcycles,Small,43,67.77,2914.11,2914.11,True
10109,2003-03-10,2003,3,Mar,Usa,Unknown,Classic Cars,Small,29,32.1,930.9,930.9,True
10110,2003-03-18,2003,3,Mar,Uk,Emea,Classic Cars,Medium,43,78.15,3360.45,3360.45,True
10110,2003-03-18,2003,3,Mar,Uk,Emea,Classic Cars,Small,27,73.62,1987.74,1987.74,True
10110,2003-03-18,2003,3,Mar,Uk,Emea,Vintage Cars,Small,32,50.25,1608.0,1608.0,True
10110,2003-03-18,2003,3,Mar,Uk,Emea,Vintage Cars,Small,39,44.35,1729.65,1729.65,True
